; this data shows xor-sum (or parity) on the last nibble
; the next-to-last nibble seems addition, this might be a flechter-scheme.
;
00346001 26
0091f001 e3
01748001 b7
0251e001 51
0274a001 c4
0344b001 d5
03f4c001 15
0471c001 f7
0484d001 e2
04f4e001 a2
0574e001 13
05e4e001 83
0654e001 60
06a4d001 a0
06b1a001 35
06e4d001 e0
0724c001 01
0754a001 11
07849001 f1
07b47001 21
07d45001 61
08044001 be
08242001 fe
08441001 ae
0863f001 f9
0873e001 f9
0893d001 29
08a3c001 09
08c3b001 19
08d21001 98
08d3a001 19
08e39001 19
0a030000 3a
0a12e001 ca
0a130001 1b
f7323001 b7
f7423001 c7
f802b001 18
fa533001 9b
fb220001 db
fbe20001 1b
fca3b001 4d
fcc20001 ac
fdd20001 8d
fe942001 18
ff120001 2f
