; data shows sum on next-to-last byte,
; which also looks like parity (CRC-8, poly 1):
;
; Found: add_bytes(&b[0], 7) + b[7] == 0xfc; // (100.0%)
; Found: crc8(&b[0], 7, 0x01, 0x00) ^ b[7] == 0; // (100.0%)

0x70, 0xa7, 0x80, 0x70, 0x8f, 0x58, 0x7f, 0x8f, 0x80
0x71, 0xa7, 0x80, 0x70, 0x8e, 0x58, 0x7f, 0x8f, 0x7f
0x71, 0xa7, 0x80, 0x71, 0x8e, 0x58, 0x7f, 0x8e, 0x6e
0x71, 0xa7, 0x80, 0x76, 0x8e, 0x58, 0x7f, 0x89, 0x1b
0x71, 0xa7, 0x80, 0x77, 0x8e, 0x58, 0x7f, 0x88, 0x0a
0x72, 0xa7, 0x80, 0x68, 0x8d, 0x58, 0x7f, 0x97, 0xf1
0x72, 0xa7, 0x80, 0x69, 0x8d, 0x58, 0x7f, 0x96, 0xe0
0x72, 0xa7, 0x80, 0x70, 0x8d, 0x58, 0x7f, 0x8f, 0x60
0x72, 0xa7, 0x80, 0x71, 0x8d, 0x58, 0x7f, 0x8e, 0x5f
0x72, 0xa7, 0x80, 0x72, 0x8d, 0x58, 0x7f, 0x8d, 0x40
0x72, 0xa7, 0x80, 0x73, 0x8d, 0x58, 0x7f, 0x8c, 0x3f
0x72, 0xa7, 0x80, 0x74, 0x8d, 0x58, 0x7f, 0x8b, 0x2c
0x72, 0xa7, 0x80, 0x75, 0x8d, 0x58, 0x7f, 0x8a, 0x1b
0x72, 0xa7, 0x80, 0x76, 0x8d, 0x58, 0x7f, 0x89, 0x0c
0x72, 0xa7, 0x80, 0x77, 0x8d, 0x58, 0x7f, 0x88, 0xfb
0x73, 0xa7, 0x80, 0x66, 0x8c, 0x58, 0x7f, 0x99, 0x0c
0x73, 0xa7, 0x80, 0x67, 0x8c, 0x58, 0x7f, 0x98, 0xfb
0x73, 0xa7, 0x80, 0x68, 0x8c, 0x58, 0x7f, 0x97, 0xe0
0x73, 0xa7, 0x80, 0x69, 0x8c, 0x58, 0x7f, 0x96, 0xdf
0x73, 0xa7, 0x80, 0x70, 0x8c, 0x58, 0x7f, 0x8f, 0x5f
0x73, 0xa7, 0x80, 0x71, 0x8c, 0x58, 0x7f, 0x8e, 0x4e
0x73, 0xa7, 0x80, 0x72, 0x8c, 0x58, 0x7f, 0x8d, 0x3f
0x73, 0xa7, 0x80, 0x73, 0x8c, 0x58, 0x7f, 0x8c, 0x2e
0x73, 0xa7, 0x80, 0x74, 0x8c, 0x58, 0x7f, 0x8b, 0x1b
0x73, 0xa7, 0x80, 0x75, 0x8c, 0x58, 0x7f, 0x8a, 0x0a
0x74, 0xa7, 0x80, 0x58, 0x8b, 0x58, 0x7f, 0xa7, 0xec
0x74, 0xa7, 0x80, 0x59, 0x8b, 0x58, 0x7f, 0xa6, 0xdb
0x74, 0xa7, 0x80, 0x60, 0x8b, 0x58, 0x7f, 0x9f, 0x5d
0x74, 0xa7, 0x80, 0x61, 0x8b, 0x58, 0x7f, 0x9e, 0x4c
0x74, 0xa7, 0x80, 0x62, 0x8b, 0x58, 0x7f, 0x9d, 0x3d
0x74, 0xa7, 0x80, 0x63, 0x8b, 0x58, 0x7f, 0x9c, 0x2c
0x74, 0xa7, 0x80, 0x64, 0x8b, 0x58, 0x7f, 0x9b, 0x19
0x74, 0xa7, 0x80, 0x65, 0x8b, 0x58, 0x7f, 0x9a, 0x08
0x74, 0xa7, 0x80, 0x75, 0x8b, 0x58, 0x7f, 0x8a, 0xf7
0x75, 0xa7, 0x80, 0x54, 0x8a, 0x58, 0x7f, 0xab, 0x17
0x75, 0xa7, 0x80, 0x55, 0x8a, 0x58, 0x7f, 0xaa, 0x06
0x75, 0xa7, 0x80, 0x56, 0x8a, 0x58, 0x7f, 0xa9, 0xf7
0x75, 0xa7, 0x80, 0x57, 0x8a, 0x58, 0x7f, 0xa8, 0xe6
